variant,kind,rule_perms,signature
ablation_r7_p11.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=1,4,3,2,0;r8=0,1,2",16bd4b4a
ablation_r7_p12.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=1,3,2,4,0;r8=0,1,2",cd47d4b7
ablation_r8_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,2,1",df2983c0
ablation_r8_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=1,2,0",5c18520c
sample_0001.dl,sample,"r0=0,1,2;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,1,2,3;r5=2,4,3,0,1;r6=0,1,2;r7=2,4,1,0,3;r8=0,2,1",f2cee5c9
sample_0002.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,3,2,1;r5=0,2,1,4,3;r6=0,1,2;r7=1,3,0,2,4;r8=0,1,2",cec307e0
sample_0003.dl,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,1,2,3;r5=2,4,1,3,0;r6=0,2,1;r7=1,4,3,0,2;r8=0,1,2",6a7560b7
sample_0004.dl,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=2,3,0,1;r5=2,3,4,1,0;r6=0,2,1;r7=2,3,0,1,4;r8=0,1,2",a01e3566
sample_0005.dl,sample,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,3,1,2;r5=0,2,1,3,4;r6=0,1,2;r7=0,3,1,2,4;r8=0,2,1",b4501c3c
sample_0006.dl,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=1,2,3,4,0;r6=0,2,1;r7=0,4,1,3,2;r8=1,2,0",d6d63c20
sample_0007.dl,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,3,2,0;r5=2,4,0,1,3;r6=0,1,2;r7=1,4,3,0,2;r8=1,2,0",a1701951
sample_0008.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=0,3,1,2;r5=2,4,0,1,3;r6=1,2,0;r7=1,4,3,2,0;r8=0,1,2",d16b1d09
sample_0009.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,3,1,0;r6=0,2,1;r7=1,3,0,4,2;r8=0,2,1",6976a4f2
sample_0010.dl,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,3,1;r5=2,4,0,1,3;r6=0,2,1;r7=1,3,0,4,2;r8=1,2,0",9b1b11ef
sample_0011.dl,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,2,3,1;r5=2,4,1,3,0;r6=1,2,0;r7=1,4,3,0,2;r8=0,2,1",2838db70
sample_0012.dl,sample,"r0=1,2,0;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=0,3,2,1;r5=0,2,4,3,1;r6=0,1,2;r7=1,4,2,0,3;r8=0,2,1",24ea05e8
sample_0013.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,2,3,4,1;r6=1,2,0;r7=1,3,2,4,0;r8=1,2,0",c5a882c3
sample_0014.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,3,0,2;r5=1,2,0,3,4;r6=1,2,0;r7=0,1,2,3,4;r8=1,2,0",9841945f
sample_0015.dl,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=2,3,0,1;r5=1,2,3,0,4;r6=0,1,2;r7=1,2,0,3,4;r8=0,2,1",3b05a6ee
sample_0016.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=1,3,0,2;r5=2,4,3,0,1;r6=0,1,2;r7=1,4,2,0,3;r8=0,1,2",fa97b9d2
sample_0017.dl,sample,"r0=1,2,0;r1=0,2,1;r2=1,2,0;r3=0,1,2;r4=0,2,1,3;r5=1,2,3,4,0;r6=0,1,2;r7=1,4,3,0,2;r8=1,2,0",9c08bd9e
sample_0018.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=0,1,2,3;r5=0,2,1,4,3;r6=0,2,1;r7=1,2,0,4,3;r8=0,1,2",825f5c04
sample_0019.dl,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=0,1,3,2;r5=2,4,1,3,0;r6=0,2,1;r7=0,1,4,2,3;r8=1,2,0",7c362bb5
sample_0020.dl,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=1,3,0,2;r5=0,2,3,4,1;r6=0,2,1;r7=1,4,2,3,0;r8=1,2,0",391d1d57
sample_0021.dl,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=2,3,1,0;r5=1,2,0,4,3;r6=0,2,1;r7=2,4,0,1,3;r8=1,2,0",4b37dec6
sample_0022.dl,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,1,3,2;r5=0,2,4,3,1;r6=0,1,2;r7=0,1,4,2,3;r8=0,2,1",fbb9aff7
sample_0023.dl,sample,"r0=0,1,2;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,3,2,0;r5=0,2,4,3,1;r6=0,1,2;r7=0,1,4,2,3;r8=1,2,0",77660cc3
sample_0024.dl,sample,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=3,4,2,1,0;r6=0,2,1;r7=0,1,4,2,3;r8=1,2,0",ac8fee40
sample_0025.dl,sample,"r0=0,1,2;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,2,3,1;r5=2,3,1,4,0;r6=0,1,2;r7=2,4,3,0,1;r8=1,2,0",a24dfd1c
sample_0026.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=1,2,0,3;r5=0,2,4,1,3;r6=0,1,2;r7=0,3,1,2,4;r8=1,2,0",63bc2023
sample_0027.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,2,3,0;r5=3,4,2,1,0;r6=1,2,0;r7=0,1,3,4,2;r8=1,2,0",2d769662
sample_0028.dl,sample,"r0=1,2,0;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=1,2,0,3;r5=2,4,1,3,0;r6=0,2,1;r7=0,3,1,2,4;r8=0,1,2",99c5044d
sample_0029.dl,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=1,2,4,3,0;r6=0,1,2;r7=0,4,3,2,1;r8=0,2,1",2ccf242e
sample_0030.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,2,3;r5=2,4,0,1,3;r6=1,2,0;r7=0,1,2,3,4;r8=0,1,2",6c186bee
sample_0031.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=1,2,3,0;r5=0,2,4,1,3;r6=0,2,1;r7=0,1,3,4,2;r8=0,1,2",3a564f57
sample_0032.dl,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=1,2,3,0;r5=1,2,0,4,3;r6=0,2,1;r7=2,4,1,0,3;r8=1,2,0",51e6c005
sample_0033.dl,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=0,2,4,1,3;r6=0,2,1;r7=0,4,1,3,2;r8=0,1,2",747f3781
sample_0034.dl,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=2,3,1,0;r5=1,2,3,0,4;r6=0,1,2;r7=0,1,3,4,2;r8=1,2,0",8c156122
sample_0035.dl,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=0,1,2,3;r5=2,3,1,0,4;r6=0,1,2;r7=0,3,4,2,1;r8=0,1,2",5826c5fe
sample_0036.dl,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=1,2,0,3;r5=0,2,1,4,3;r6=1,2,0;r7=0,4,2,3,1;r8=1,2,0",62017efe
sample_0037.dl,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=1,2,0,3;r5=2,4,0,3,1;r6=1,2,0;r7=2,3,0,1,4;r8=1,2,0",cf4a269d
sample_0038.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=0,2,3,1;r5=1,2,0,3,4;r6=0,2,1;r7=0,3,2,1,4;r8=1,2,0",7867a003
sample_0039.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=0,1,3,2;r5=0,1,2,3,4;r6=0,2,1;r7=2,3,1,4,0;r8=1,2,0",cf902dcb
sample_0040.dl,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=1,3,0,2;r5=1,2,0,3,4;r6=0,1,2;r7=1,2,4,0,3;r8=0,1,2",62031d74
sample_0041.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=1,2,3,0;r5=3,4,2,0,1;r6=1,2,0;r7=2,4,1,3,0;r8=0,2,1",61dcf84d
sample_0042.dl,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=2,3,0,1;r5=3,4,2,0,1;r6=1,2,0;r7=1,2,0,4,3;r8=1,2,0",08af5ce2
sample_0043.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,3,2;r5=2,4,1,3,0;r6=1,2,0;r7=0,3,2,4,1;r8=0,2,1",0dc320cd
sample_0044.dl,sample,"r0=0,2,1;r1=1,2,0;r2=0,1,2;r3=1,2,0;r4=0,2,3,1;r5=2,4,0,3,1;r6=1,2,0;r7=0,4,3,1,2;r8=1,2,0",0e6021a7
sample_0045.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=1,2,4,3,0;r6=0,2,1;r7=0,1,3,2,4;r8=0,1,2",76199532
sample_0046.dl,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=2,4,1,3,0;r6=0,2,1;r7=1,4,3,2,0;r8=1,2,0",bd9df03b
sample_0047.dl,sample,"r0=0,2,1;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,1,3,2;r5=2,4,1,0,3;r6=0,1,2;r7=1,4,3,0,2;r8=0,1,2",1b782013
sample_0048.dl,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,2,0,3;r5=0,2,3,1,4;r6=0,1,2;r7=1,2,0,4,3;r8=0,2,1",504de612
sample_0049.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,2,1,4,3;r6=0,2,1;r7=1,4,3,2,0;r8=0,2,1",f4744c6d
sample_0050.dl,sample,"r0=1,2,0;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,2,1,3;r5=2,4,3,1,0;r6=0,1,2;r7=1,3,2,0,4;r8=0,1,2",fbaf8aa1
sample_0051.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=2,3,0,1;r5=3,4,2,1,0;r6=1,2,0;r7=0,4,2,3,1;r8=0,2,1",eb78504f
sample_0052.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=1,2,0;r4=0,1,2,3;r5=3,4,2,1,0;r6=0,2,1;r7=0,4,2,1,3;r8=0,1,2",84517606
sample_0053.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=0,2,3,1;r5=0,1,2,3,4;r6=1,2,0;r7=0,4,1,2,3;r8=0,2,1",c6b2d1b0
sample_0054.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=0,3,2,1;r5=2,4,0,1,3;r6=1,2,0;r7=1,3,0,4,2;r8=1,2,0",82829265
sample_0055.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,3,1,2;r5=0,2,3,4,1;r6=1,2,0;r7=0,4,3,1,2;r8=0,1,2",ee7b9034
sample_0056.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=2,3,1,0;r5=2,4,3,1,0;r6=0,2,1;r7=1,3,2,4,0;r8=1,2,0",c2da95e1
sample_0057.dl,sample,"r0=1,2,0;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,3,1,2;r5=0,1,2,4,3;r6=1,2,0;r7=1,3,2,4,0;r8=0,1,2",1215dbe3
sample_0058.dl,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=0,3,2,1;r5=1,2,4,3,0;r6=0,1,2;r7=2,4,0,1,3;r8=0,2,1",57d058ea
sample_0059.dl,sample,"r0=1,2,0;r1=0,2,1;r2=1,2,0;r3=0,1,2;r4=2,3,1,0;r5=1,2,0,4,3;r6=1,2,0;r7=1,2,0,4,3;r8=1,2,0",cf276396
sample_0060.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,3,0,2;r5=0,2,3,1,4;r6=0,1,2;r7=1,3,2,0,4;r8=1,2,0",41bcf096
sample_0061.dl,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,3,2,0;r5=2,3,4,0,1;r6=0,2,1;r7=1,3,0,4,2;r8=1,2,0",b1874365
sample_0062.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=1,2,0,3;r5=2,4,3,1,0;r6=1,2,0;r7=2,3,1,0,4;r8=1,2,0",870d6ff0
sample_0063.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=2,3,0,1;r5=0,2,4,1,3;r6=1,2,0;r7=1,4,0,2,3;r8=1,2,0",e5e3b14d
sample_0064.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=1,2,0;r4=1,3,0,2;r5=2,4,0,3,1;r6=1,2,0;r7=2,3,1,4,0;r8=0,2,1",941ed0fa
sample_0065.dl,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,3,1;r5=2,4,3,1,0;r6=0,1,2;r7=0,3,2,4,1;r8=0,1,2",5478a4a3
sample_0066.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=1,2,3,0;r5=1,2,4,3,0;r6=1,2,0;r7=2,3,0,1,4;r8=0,1,2",aa6b494b
sample_0067.dl,sample,"r0=1,2,0;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=1,2,0,3;r5=0,2,4,3,1;r6=0,1,2;r7=2,3,4,1,0;r8=1,2,0",93a433fa
sample_0068.dl,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,2,1,3;r5=2,4,3,1,0;r6=1,2,0;r7=1,4,2,3,0;r8=0,2,1",5368b72c
sample_0069.dl,sample,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=1,2,3,0;r5=0,2,3,1,4;r6=0,2,1;r7=2,4,0,1,3;r8=1,2,0",8bc3f8b4
sample_0070.dl,sample,"r0=1,2,0;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=1,3,2,0;r5=3,4,2,0,1;r6=1,2,0;r7=1,4,2,0,3;r8=0,2,1",edfea256
sample_0071.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=1,2,3,0;r5=1,2,0,3,4;r6=0,1,2;r7=2,3,4,0,1;r8=0,2,1",33b0424e
sample_0072.dl,sample,"r0=1,2,0;r1=0,2,1;r2=1,2,0;r3=0,1,2;r4=0,3,1,2;r5=2,3,0,1,4;r6=0,1,2;r7=2,4,1,3,0;r8=0,2,1",1b24815f
sample_0073.dl,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,3,0,2;r5=0,2,1,3,4;r6=0,1,2;r7=0,3,2,4,1;r8=0,1,2",1227b640
sample_0074.dl,sample,"r0=0,2,1;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,1,3,2;r5=1,2,4,3,0;r6=0,2,1;r7=1,2,3,4,0;r8=1,2,0",6bf7cf79
sample_0075.dl,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=1,2,0,3;r5=1,2,4,0,3;r6=1,2,0;r7=2,4,1,0,3;r8=0,1,2",5de23584
sample_0076.dl,sample,"r0=1,2,0;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=0,3,2,1;r5=1,2,0,4,3;r6=0,2,1;r7=1,3,2,0,4;r8=1,2,0",1c46d001
sample_0077.dl,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,2,3,0;r5=0,2,4,3,1;r6=0,2,1;r7=1,3,2,4,0;r8=0,2,1",8c42d890
