Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded,Ddlog_Total,Ddlog_PeakRss_MB,Ddlog_vs_Compiler_Total,Crosscheck_Ddlog,Ddlog_RunsSucceeded,Ascent_Total,Ascent_PeakRss_MB,Ascent_vs_Compiler_Total,Crosscheck_Ascent,Ascent_RunsSucceeded,Souffle_Load,Souffle_Exec,Ddlog_Load,Ddlog_Exec,Ascent_Load,Ascent_Exec
cc,livejournal,N/A,0.250725553,,N/A,8.192396698,,N/A,8.443122251,,N/A,6450.00,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,10.778391000,4690.73,1.276588,match(1),3,N/A,N/A,N/A,N/A,2.759580000,8.018811000
cc,arabic,N/A,1.425733842,,N/A,73.099961635,,N/A,74.525695477,,N/A,26810.80,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,140.859372000,34778.54,1.890078,match(1),3,N/A,N/A,N/A,N/A,22.367328000,118.492044000
cc,orkut,N/A,0.360902485,,N/A,12.118765669,,N/A,12.479668154,,N/A,7448.64,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,15.857402000,4859.39,1.270659,match(1),3,N/A,N/A,N/A,N/A,4.211134000,11.646268000
sssp,livejournal-sssp,N/A,0.000007975,,N/A,1.997059496,,N/A,1.997067471,,N/A,2987.49,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,7.959440000,5238.05,3.985564,match(1),3,N/A,N/A,N/A,N/A,3.282781000,4.676659000
sssp,orkut-sssp,N/A,0.000056356,,N/A,2.944409111,,N/A,2.944465467,,N/A,4956.39,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,10.861407000,5452.46,3.688753,match(1),3,N/A,N/A,N/A,N/A,4.935436000,5.925971000
bipartite,mind,N/A,0.000015429,,N/A,0.672181439,,N/A,0.672196868,,N/A,946.07,15.030433178,529.70,22.360165,match(3),,3,3,67.803004026,4823.60,100.867777,match(3),3,1.675165000,951.27,2.492075,match(3),3,13.929326000,1.302439000,65.831287414,1.274348264,0.669593000,1.005572000
bipartite,netflix,N/A,0.000012463,,N/A,2.786903337,,N/A,2.786915800,,N/A,4570.38,102.486415863,2819.01,36.774134,match(3),,3,3,371.596065998,21047.43,133.335950,match(3),3,9.261248000,3806.57,3.323117,match(3),3,97.202886000,5.561176000,365.336027736,3.551434850,3.467505000,5.793743000
bipartite,roadNet-CA,N/A,0.000008186,,N/A,0.669530272,,N/A,0.669538458,,N/A,388.37,7.993506670,226.30,11.938831,match(3),,3,3,23.449688196,3128.21,35.023661,match(3),3,1.765779000,670.47,2.637308,match(3),3,1.531388000,6.400267000,18.646572385,4.162371222,0.215472000,1.550307000
dyck,kernel,N/A,0.024242552,,N/A,0.687500001,,N/A,0.711742553,,N/A,1047.98,8.779079199,657.28,12.334627,match(3),,3,3,47.336961269,6047.80,66.508545,match(3),3,7.832597000,3672.39,11.004818,match(3),3,5.658576000,2.674530000,39.408688813,6.046131117,0.452059000,7.380538000
dyck,postgre,N/A,0.022072706,,N/A,0.531624616,,N/A,0.553697322,,N/A,799.62,5.368620157,340.04,9.695947,match(3),,3,3,23.710790396,3763.70,42.822657,match(3),3,3.933973000,1692.07,7.104916,match(3),3,3.120468000,2.084607000,19.140293153,3.374187904,0.280326000,3.653647000
andersen,medium,N/A,0.038189650,,N/A,0.730124786,,N/A,0.768314436,,N/A,1166.77,37.689985514,1063.71,49.055418,match(1),,3,3,121.365716457,6330.69,157.963603,match(1),3,4.023560000,3554.22,5.236866,match(1),3,24.556986000,13.102844000,118.462147346,1.979260608,1.226225000,2.797335000
andersen,large,N/A,0.043536264,,N/A,1.272475753,,N/A,1.316012017,,N/A,2063.89,85.181828737,2123.30,64.727242,match(1),,3,3,246.640836000,12449.07,187.415337,match(1),3,8.061914000,7102.63,6.126019,match(1),3,55.732596000,31.329574000,240.805187356,3.963324240,2.499224000,5.562690000
cspa,cspa-httpd,N/A,0.003139353,,N/A,12.604394312,,N/A,12.607533665,,N/A,11524.54,57.006798744,9658.22,4.521646,match(1)+aux(2),,3,3,226.299342871,66631.04,17.949533,match(1)+aux(2),3,78.281822000,12004.57,6.209131,match(1)+aux(2),3,0.414490000,54.115163000,5.181877646,212.317845115,0.078846000,78.202976000
cspa,cspa-linux,N/A,0.015168791,,N/A,3.444977715,,N/A,3.460146506,,N/A,3359.54,15.672552586,1837.73,4.529448,match(1)+aux(2),,3,3,69.923674583,15539.51,20.208299,match(1)+aux(2),3,14.724251000,4721.59,4.255384,match(1)+aux(2),3,2.582482000,13.244362000,32.697001647,34.309718011,0.357959000,14.366292000
cspa,cspa-postgresql,N/A,0.012392178,,N/A,13.218893915,,N/A,13.231286093,,N/A,11852.08,62.864809036,10139.54,4.751224,match(1)+aux(2),,3,3,232.054944754,66249.25,17.538351,match(1)+aux(2),3,78.050460000,12448.20,5.898932,match(1)+aux(2),3,1.269626000,59.446162000,15.394025220,207.709205485,0.181740000,77.868720000
csda,csda-httpd,N/A,0.024613188,,N/A,0.821569106,,N/A,0.846182294,,N/A,682.96,9.574728966,581.22,11.315208,match(1),,3,3,43.022549629,5096.88,50.843122,match(1),3,2.319889000,1459.46,2.741595,match(1),3,3.260866000,6.035920000,35.480919849,6.536090514,0.415862000,1.904027000
csda,csda-linux,N/A,0.090973834,,N/A,4.648722425,,N/A,4.739696259,,N/A,2749.89,54.120921850,2935.35,11.418648,match(1),,3,3,204.663045406,25432.93,43.180625,match(1),3,19.579200000,7456.05,4.130898,match(1),3,14.398794000,34.494697000,154.710367181,45.098708144,1.586797000,17.992403000
csda,csda-postgresql,N/A,0.129802971,,N/A,2.207960813,,N/A,2.337763784,,N/A,1386.55,24.360483646,1615.42,10.420421,match(1),,3,3,143.746516228,13275.86,61.488897,match(1),3,9.197368000,5972.80,3.934259,match(1),3,11.727323000,11.201530000,124.668027204,16.706396830,1.344837000,7.852531000
cvc5,cvc5,N/A,0.000291279,,N/A,8.976498474,,N/A,8.976789753,,N/A,3585.72,16.744316816,1580.13,1.865290,match(11),,3,3,137.012709141,23019.75,15.262996,match(11),3,8.590126000,2680.64,0.956926,match(11),3,0.529987000,15.523819000,6.223315271,121.215840585,0.102424000,8.487702000
z3,z3,N/A,0.004032339,,N/A,14.902097152,,N/A,14.906129491,,N/A,10561.37,104.757514954,6157.28,7.027815,match(11),,3,3,735.224497318,71477.32,49.323635,match(11),3,40.303033000,24415.11,2.703789,match(11),3,45.099149000,54.785290000,559.257843985,135.022685704,4.576715000,35.726318000
doop,avrora,N/A,0.027437119,,N/A,2.168119870,,N/A,2.195556989,,N/A,1351.08,8.701430082,682.12,3.963199,match(26),,3,3,48.700158834,7496.07,22.181232,match(26),3,18.227720000,1425.57,8.302094,match(26),3,3.762818000,3.832458000,26.211096183,14.921357483,1.297837000,16.929883000
doop,batik,N/A,0.009774304,,N/A,9.866552433,,N/A,9.876326737,,N/A,4640.05,38.869902372,2516.92,3.935664,match(26),,3,3,242.519721985,36062.05,24.555660,match(26),3,178.081146000,4135.86,18.031111,match(26),3,5.462936000,31.513646000,34.451051516,176.061708524,1.690615000,176.390531000
doop,biojava,N/A,0.026059998,,N/A,4.667001563,,N/A,4.693061561,,N/A,2442.19,20.286723852,1623.77,4.322706,match(26),,3,3,113.654849291,13500.52,24.217634,match(26),3,68.451840000,3378.77,14.585754,match(26),3,10.215796000,8.114380000,65.279534671,34.730019424,4.015244000,64.436596000
doop,cassandra,N/A,0.005362808,,N/A,1.559404723,,N/A,1.564767531,,N/A,1017.72,5.892698765,427.38,3.765862,match(26),,3,3,27.372944832,5914.32,17.493298,match(26),3,9.826058000,873.45,6.279564,match(26),3,2.377061000,2.837421000,12.984639092,9.458601959,0.721962000,9.104096000
doop,eclipse,N/A,0.002948808,,N/A,9.645600619,,N/A,9.648549427,,N/A,4201.91,25.513213873,1813.75,2.644254,match(26),,3,3,209.221653700,34984.11,21.684260,match(26),3,181.718427000,3152.03,18.833756,match(26),3,2.359384000,22.433562000,16.269609051,168.761571934,0.733854000,180.984573000
doop,fop,N/A,0.013647982,,N/A,9.381275160,,N/A,9.394923142,,N/A,5094.25,37.765756845,2628.12,4.019805,match(26),,3,3,253.146682501,37889.54,26.945051,match(26),3,156.603883000,4179.20,16.668990,match(26),3,5.490199000,29.623281000,36.138091308,184.831051831,1.688928000,154.914955000
doop,graphchi,N/A,0.020914291,,N/A,4.750382525,,N/A,4.771296816,,N/A,2466.57,19.644560575,1854.12,4.117237,match(26),,3,3,125.704872131,13079.20,26.346060,match(26),3,66.632881000,3822.45,13.965361,match(26),3,11.117964000,6.541656000,83.312406905,28.751014647,3.843824000,62.789057000
doop,h2,N/A,0.009612002,,N/A,8.726502332,,N/A,8.736114334,,N/A,4899.44,37.132542849,2359.76,4.250464,match(26),,3,3,231.073667526,38683.27,26.450394,match(26),3,194.629433000,3872.59,22.278719,match(26),3,4.530514000,30.681090000,30.647521607,172.420528521,1.373835000,193.255598000
doop,h2o,N/A,0.074318308,,N/A,19.466555524,,N/A,19.540873832,,N/A,7689.04,69.140465736,5534.07,3.538248,match(26),,3,3,482.696229935,46493.68,24.701875,match(26),3,805.627068000,11477.73,41.227791,match(26),3,33.336175000,32.653443000,255.620332983,176.739960417,14.869591000,790.757477000
doop,jme,N/A,0.012999460,,N/A,3.232144104,,N/A,3.245143564,,N/A,1868.77,13.566322088,1149.09,4.180500,match(26),,3,3,80.426435471,11127.52,24.783629,match(26),3,45.148071000,2300.77,13.912503,match(26),3,6.381297000,5.732916000,41.283843648,27.947514917,2.047823000,43.100248000
doop,kafka,N/A,0.036012820,,N/A,4.327987100,,N/A,4.363999920,,N/A,2285.65,17.988789558,1552.97,4.122088,match(26),,3,3,96.013859987,11545.01,22.001343,match(26),3,37.403869000,3230.95,8.571006,match(26),3,10.385023000,5.963660000,60.862456718,22.042306213,3.169102000,34.234767000
doop,luindex,N/A,0.007736502,,N/A,2.741624757,,N/A,2.749361259,,N/A,1602.98,10.445592880,722.31,3.799280,match(26),,3,3,57.625107527,10248.95,20.959453,match(26),3,34.493347000,1217.22,12.545949,match(26),3,2.488220000,7.011620000,15.178442739,32.636942853,0.802662000,33.690685000
doop,lusearch,N/A,0.003652299,,N/A,2.379010756,,N/A,2.382663055,,N/A,1186.75,7.184964180,524.90,3.015518,match(26),,3,3,39.034422874,7245.45,16.382687,match(26),3,25.247922000,1036.84,10.596514,match(26),3,2.571103000,3.851166000,15.339596008,17.317956640,0.801832000,24.446090000
doop,pmd,N/A,0.012166317,,N/A,3.715528265,,N/A,3.727694582,,N/A,2174.52,14.201867342,1057.75,3.809826,match(26),,3,3,84.651040554,13709.51,22.708685,match(26),3,50.031760000,2102.17,13.421636,match(26),3,4.698312000,8.186470000,31.037844593,41.352795843,1.435263000,48.596497000
doop,spring,N/A,0.006833999,,N/A,7.264985796,,N/A,7.271819795,,N/A,3954.88,30.190309048,1840.57,4.151686,match(26),,3,3,176.986207247,28163.11,24.338640,match(26),3,167.200108000,2942.38,22.992884,match(26),3,4.606970000,23.908957000,29.744377440,124.544563589,1.326708000,165.873400000
doop,sunflow,N/A,0.025218162,,N/A,4.603607202,,N/A,4.628825364,,N/A,2619.70,18.780293465,1287.53,4.057248,match(26),,3,3,101.605201483,16437.42,21.950537,match(26),3,56.017373000,2129.71,12.101855,match(26),3,3.458927000,13.881594000,22.306538002,64.051591331,1.108775000,54.908598000
doop,tomcat,N/A,0.010563105,,N/A,2.436175024,,N/A,2.446738129,,N/A,1431.45,9.374190569,631.05,3.831301,match(26),,3,3,46.361337185,9217.45,18.948222,match(26),3,12.873237000,1084.79,5.261387,match(26),3,2.252123000,6.440196000,13.061095167,24.953196494,0.597188000,12.276049000
doop,xalan,N/A,0.010507040,,N/A,3.152880550,,N/A,3.163387590,,N/A,1604.68,12.414144754,993.06,3.924320,match(26),,3,3,62.331029415,9417.67,19.703886,match(26),3,58.755629000,1975.52,18.573642,match(26),3,5.660120000,5.472777000,34.755431146,18.681714496,1.665619000,57.090010000
doop,zxing,N/A,0.010306969,,N/A,3.070770681,,N/A,3.081077650,,N/A,1679.68,12.448319674,862.68,4.040249,match(26),,3,3,58.356430769,9746.75,18.940266,match(26),3,23.801339000,1635.46,7.725005,match(26),3,3.616566000,7.886635000,24.017129238,25.420995437,1.159061000,22.642278000
reach,arabic,N/A,1.869765860,,N/A,9.929499902,,N/A,11.799265762,,N/A,17268.20,174.342659235,12487.89,14.775721,match(1),,3,3,N/A,N/A,N/A,n/a,,58.594485000,26822.51,4.965943,match(1),3,167.947114000,4.266101000,N/A,N/A,23.123649000,35.470836000
bipartite,mag,N/A,0.000046447,,N/A,37.714581872,,N/A,37.714628319,,N/A,35450.21,322.920051336,21124.68,8.562196,match(3),,3,3,N/A,N/A,N/A,n/a,,186.543851000,54992.59,4.946194,match(3),3,303.804379000,17.452571000,N/A,N/A,55.344770000,131.199081000
doop,jython,N/A,0.018801354,,N/A,301.700945643,,N/A,301.719746997,,N/A,52788.91,461.930436611,18952.20,1.530992,match(26),,3,3,N/A,N/A,N/A,n/a,,1340.860570000,21968.07,4.444060,match(26),3,6.326519000,436.521120000,N/A,N/A,2.122800000,1338.737770000
galen,galen,N/A,0.000014116,,N/A,5.606491420,,N/A,5.606505536,,N/A,4611.16,34.958596706,3244.10,6.235363,match(2),,3,3,68.447095394,20682.02,12.208513,match(2),3,8.009560000,2399.26,1.428619,match(2),3,0.405588000,31.641299000,3.552253825,57.152816315,0.046023000,7.963537000
crdt,crdt,N/A,0.000115508,,N/A,3.386846177,,N/A,3.386961685,,N/A,191.94,3.865331650,134.19,1.141239,match(8),,3,3,16.543464184,1134.78,4.884456,match(8),3,10.263400000,233.54,3.030268,match(8),3,0.097944000,3.294653000,0.995931885,14.771564492,0.016096000,10.247304000
