variant,kind,rule_perms,signature
ablation_r0_p10.dl,ablation,"r0=2,3,0,1;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",3f5d11ee
ablation_r0_p11.dl,ablation,"r0=2,3,1,0;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",6abeb836
ablation_r1_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,3,2;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",c660d363
ablation_r1_p02.dl,ablation,"r0=0,1,2,3;r1=0,2,1,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",7d91fb70
ablation_r1_p03.dl,ablation,"r0=0,1,2,3;r1=0,2,3,1;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",e713b56d
ablation_r1_p04.dl,ablation,"r0=0,1,2,3;r1=0,3,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",0b6cbf37
ablation_r1_p05.dl,ablation,"r0=0,1,2,3;r1=0,3,2,1;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",7b1d6010
ablation_r1_p06.dl,ablation,"r0=0,1,2,3;r1=1,2,0,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",0e30d07c
ablation_r1_p07.dl,ablation,"r0=0,1,2,3;r1=1,2,3,0;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",3168e6ad
ablation_r1_p08.dl,ablation,"r0=0,1,2,3;r1=1,3,0,2;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",14b2f147
ablation_r1_p09.dl,ablation,"r0=0,1,2,3;r1=1,3,2,0;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",32a40d74
ablation_r1_p10.dl,ablation,"r0=0,1,2,3;r1=2,3,0,1;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",66641dd6
ablation_r1_p11.dl,ablation,"r0=0,1,2,3;r1=2,3,1,0;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",93d0e60b
ablation_r2_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,2,1;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",beba2b52
ablation_r2_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=1,2,0;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",db23c46d
ablation_r3_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,2,1;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",65017337
ablation_r3_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=1,2,0;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",3785e1d0
ablation_r4_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,2,1;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",52d55a6d
ablation_r4_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=1,2,0;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",8ec7ba8c
ablation_r5_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,2,1;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",7be02274
ablation_r5_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=1,2,0;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",d3a75aac
ablation_r6_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,3,2;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",3a9b3c5d
