variant,kind,rule_perms,signature
variant_0016.dl,variant,"r0=0,1,3,2;r1=0,1,2;r2=0,2,1;r3=0,2,1",a4470fae
variant_0017.dl,variant,"r0=0,1,3,2;r1=0,1,2;r2=0,2,1;r3=1,2,0",47354d1a
variant_0018.dl,variant,"r0=0,1,3,2;r1=0,2,1;r2=0,1,2;r3=0,1,2",a4edee46
variant_0019.dl,variant,"r0=0,1,3,2;r1=0,2,1;r2=0,1,2;r3=0,2,1",55eda947
variant_0020.dl,variant,"r0=0,1,3,2;r1=0,2,1;r2=0,1,2;r3=1,2,0",a147ec9b
variant_0021.dl,variant,"r0=0,1,3,2;r1=0,2,1;r2=0,2,1;r3=0,1,2",594dae53
variant_0022.dl,variant,"r0=0,1,3,2;r1=0,2,1;r2=0,2,1;r3=0,2,1",46860ee2
variant_0023.dl,variant,"r0=0,1,3,2;r1=0,2,1;r2=0,2,1;r3=1,2,0",e744e47e
variant_0024.dl,variant,"r0=0,1,3,2;r1=1,2,0;r2=0,1,2;r3=0,1,2",1813fd39
variant_0025.dl,variant,"r0=0,1,3,2;r1=1,2,0;r2=0,1,2;r3=0,2,1",b820face
variant_0026.dl,variant,"r0=0,1,3,2;r1=1,2,0;r2=0,1,2;r3=1,2,0",a1014526
variant_0027.dl,variant,"r0=0,1,3,2;r1=1,2,0;r2=0,2,1;r3=0,1,2",d0c225fe
variant_0028.dl,variant,"r0=0,1,3,2;r1=1,2,0;r2=0,2,1;r3=0,2,1",d4bd29c9
variant_0029.dl,variant,"r0=0,1,3,2;r1=1,2,0;r2=0,2,1;r3=1,2,0",d742e23d
ablation_r0_p02.dl,ablation,"r0=0,2,1,3;r1=0,1,2;r2=0,1,2;r3=0,1,2",db6b450c
variant_0030.dl,variant,"r0=0,2,1,3;r1=0,1,2;r2=0,1,2;r3=0,2,1",114fbb04
variant_0031.dl,variant,"r0=0,2,1,3;r1=0,1,2;r2=0,1,2;r3=1,2,0",84f7018b
variant_0032.dl,variant,"r0=0,2,1,3;r1=0,1,2;r2=0,2,1;r3=0,1,2",9f6f2235
variant_0033.dl,variant,"r0=0,2,1,3;r1=0,1,2;r2=0,2,1;r3=0,2,1",95c05545
variant_0034.dl,variant,"r0=0,2,1,3;r1=0,1,2;r2=0,2,1;r3=1,2,0",f6fcba4b
variant_0035.dl,variant,"r0=0,2,1,3;r1=0,2,1;r2=0,1,2;r3=0,1,2",76795d45
variant_0036.dl,variant,"r0=0,2,1,3;r1=0,2,1;r2=0,1,2;r3=0,2,1",75b4e8d1
variant_0037.dl,variant,"r0=0,2,1,3;r1=0,2,1;r2=0,1,2;r3=1,2,0",ed169944
variant_0038.dl,variant,"r0=0,2,1,3;r1=0,2,1;r2=0,2,1;r3=0,1,2",5fe73c46
variant_0039.dl,variant,"r0=0,2,1,3;r1=0,2,1;r2=0,2,1;r3=0,2,1",99db60f9
variant_0040.dl,variant,"r0=0,2,1,3;r1=0,2,1;r2=0,2,1;r3=1,2,0",6119d634
variant_0041.dl,variant,"r0=0,2,1,3;r1=1,2,0;r2=0,1,2;r3=0,1,2",38d0eea5
variant_0042.dl,variant,"r0=0,2,1,3;r1=1,2,0;r2=0,1,2;r3=0,2,1",e4dd616a
variant_0043.dl,variant,"r0=0,2,1,3;r1=1,2,0;r2=0,1,2;r3=1,2,0",bb5cee96
variant_0044.dl,variant,"r0=0,2,1,3;r1=1,2,0;r2=0,2,1;r3=0,1,2",da0ac3c5
variant_0045.dl,variant,"r0=0,2,1,3;r1=1,2,0;r2=0,2,1;r3=0,2,1",108f6ab6
variant_0046.dl,variant,"r0=0,2,1,3;r1=1,2,0;r2=0,2,1;r3=1,2,0",14463d1a
ablation_r0_p03.dl,ablation,"r0=0,2,3,1;r1=0,1,2;r2=0,1,2;r3=0,1,2",34dcdd8b
variant_0047.dl,variant,"r0=0,2,3,1;r1=0,1,2;r2=0,1,2;r3=0,2,1",c12ff7fe
variant_0048.dl,variant,"r0=0,2,3,1;r1=0,1,2;r2=0,1,2;r3=1,2,0",c2455b65
variant_0049.dl,variant,"r0=0,2,3,1;r1=0,1,2;r2=0,2,1;r3=0,1,2",75401bb2
variant_0050.dl,variant,"r0=0,2,3,1;r1=0,1,2;r2=0,2,1;r3=0,2,1",6328cb2b
variant_0051.dl,variant,"r0=0,2,3,1;r1=0,1,2;r2=0,2,1;r3=1,2,0",9820d093
variant_0052.dl,variant,"r0=0,2,3,1;r1=0,2,1;r2=0,1,2;r3=0,1,2",e459496e
variant_0053.dl,variant,"r0=0,2,3,1;r1=0,2,1;r2=0,1,2;r3=0,2,1",1065a332
variant_0054.dl,variant,"r0=0,2,3,1;r1=0,2,1;r2=0,1,2;r3=1,2,0",5bda34a0
variant_0055.dl,variant,"r0=0,2,3,1;r1=0,2,1;r2=0,2,1;r3=0,1,2",446bb045
variant_0056.dl,variant,"r0=0,2,3,1;r1=0,2,1;r2=0,2,1;r3=0,2,1",512d223c
variant_0057.dl,variant,"r0=0,2,3,1;r1=0,2,1;r2=0,2,1;r3=1,2,0",7a2364d2
variant_0058.dl,variant,"r0=0,2,3,1;r1=1,2,0;r2=0,1,2;r3=0,1,2",2e0c25f6
variant_0059.dl,variant,"r0=0,2,3,1;r1=1,2,0;r2=0,1,2;r3=0,2,1",4ab45e0e
variant_0060.dl,variant,"r0=0,2,3,1;r1=1,2,0;r2=0,1,2;r3=1,2,0",c6bc8e15
variant_0061.dl,variant,"r0=0,2,3,1;r1=1,2,0;r2=0,2,1;r3=0,1,2",0cf93cc8
variant_0062.dl,variant,"r0=0,2,3,1;r1=1,2,0;r2=0,2,1;r3=0,2,1",2f35a946
variant_0063.dl,variant,"r0=0,2,3,1;r1=1,2,0;r2=0,2,1;r3=1,2,0",edc8e934
ablation_r0_p04.dl,ablation,"r0=0,3,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2",b0dab175
variant_0064.dl,variant,"r0=0,3,1,2;r1=0,1,2;r2=0,1,2;r3=0,2,1",9e502326
variant_0065.dl,variant,"r0=0,3,1,2;r1=0,1,2;r2=0,1,2;r3=1,2,0",275deeac
variant_0066.dl,variant,"r0=0,3,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2",5bab1795
variant_0067.dl,variant,"r0=0,3,1,2;r1=0,1,2;r2=0,2,1;r3=0,2,1",e459a49d
variant_0068.dl,variant,"r0=0,3,1,2;r1=0,1,2;r2=0,2,1;r3=1,2,0",79c2558d
variant_0069.dl,variant,"r0=0,3,1,2;r1=0,2,1;r2=0,1,2;r3=0,1,2",4c8fbfbd
variant_0070.dl,variant,"r0=0,3,1,2;r1=0,2,1;r2=0,1,2;r3=0,2,1",bbcb3f3c
variant_0071.dl,variant,"r0=0,3,1,2;r1=0,2,1;r2=0,1,2;r3=1,2,0",6fbb0699
variant_0072.dl,variant,"r0=0,3,1,2;r1=0,2,1;r2=0,2,1;r3=0,1,2",7a4ebbb1
variant_0073.dl,variant,"r0=0,3,1,2;r1=0,2,1;r2=0,2,1;r3=0,2,1",e310e2e3
variant_0074.dl,variant,"r0=0,3,1,2;r1=0,2,1;r2=0,2,1;r3=1,2,0",68452feb
variant_0075.dl,variant,"r0=0,3,1,2;r1=1,2,0;r2=0,1,2;r3=0,1,2",55a8328b
variant_0076.dl,variant,"r0=0,3,1,2;r1=1,2,0;r2=0,1,2;r3=0,2,1",64a0d5d5
variant_0077.dl,variant,"r0=0,3,1,2;r1=1,2,0;r2=0,1,2;r3=1,2,0",0044f076
variant_0078.dl,variant,"r0=0,3,1,2;r1=1,2,0;r2=0,2,1;r3=0,1,2",41a96510
variant_0079.dl,variant,"r0=0,3,1,2;r1=1,2,0;r2=0,2,1;r3=0,2,1",a3666cc7
variant_0080.dl,variant,"r0=0,3,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0",3ae9ef36
ablation_r0_p05.dl,ablation,"r0=0,3,2,1;r1=0,1,2;r2=0,1,2;r3=0,1,2",70ac0656
variant_0081.dl,variant,"r0=0,3,2,1;r1=0,1,2;r2=0,1,2;r3=0,2,1",0a71eadb
variant_0082.dl,variant,"r0=0,3,2,1;r1=0,1,2;r2=0,1,2;r3=1,2,0",d9244e89
variant_0083.dl,variant,"r0=0,3,2,1;r1=0,1,2;r2=0,2,1;r3=0,1,2",e310b649
variant_0084.dl,variant,"r0=0,3,2,1;r1=0,1,2;r2=0,2,1;r3=0,2,1",78c791dd
variant_0085.dl,variant,"r0=0,3,2,1;r1=0,1,2;r2=0,2,1;r3=1,2,0",042b70cb
variant_0086.dl,variant,"r0=0,3,2,1;r1=0,2,1;r2=0,1,2;r3=0,1,2",153e31a6
variant_0087.dl,variant,"r0=0,3,2,1;r1=0,2,1;r2=0,1,2;r3=0,2,1",7a6a63dc
variant_0088.dl,variant,"r0=0,3,2,1;r1=0,2,1;r2=0,1,2;r3=1,2,0",8d443113
variant_0089.dl,variant,"r0=0,3,2,1;r1=0,2,1;r2=0,2,1;r3=0,1,2",ffeb015a
variant_0090.dl,variant,"r0=0,3,2,1;r1=0,2,1;r2=0,2,1;r3=0,2,1",b658d357
variant_0091.dl,variant,"r0=0,3,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0",e8846a8d
variant_0092.dl,variant,"r0=0,3,2,1;r1=1,2,0;r2=0,1,2;r3=0,1,2",9d8c6694
variant_0093.dl,variant,"r0=0,3,2,1;r1=1,2,0;r2=0,1,2;r3=0,2,1",1e6f85c0
variant_0094.dl,variant,"r0=0,3,2,1;r1=1,2,0;r2=0,1,2;r3=1,2,0",a47ab4cf
variant_0095.dl,variant,"r0=0,3,2,1;r1=1,2,0;r2=0,2,1;r3=0,1,2",cc1c8253
variant_0096.dl,variant,"r0=0,3,2,1;r1=1,2,0;r2=0,2,1;r3=0,2,1",e1e1e3ce
variant_0097.dl,variant,"r0=0,3,2,1;r1=1,2,0;r2=0,2,1;r3=1,2,0",e462a21e
ablation_r0_p06.dl,ablation,"r0=1,2,0,3;r1=0,1,2;r2=0,1,2;r3=0,1,2",4ee794f1
variant_0098.dl,variant,"r0=1,2,0,3;r1=0,1,2;r2=0,1,2;r3=0,2,1",e8337adb
variant_0099.dl,variant,"r0=1,2,0,3;r1=0,1,2;r2=0,1,2;r3=1,2,0",cc09b91e
variant_0100.dl,variant,"r0=1,2,0,3;r1=0,1,2;r2=0,2,1;r3=0,1,2",a0567f34
variant_0101.dl,variant,"r0=1,2,0,3;r1=0,1,2;r2=0,2,1;r3=0,2,1",3b00864c
variant_0102.dl,variant,"r0=1,2,0,3;r1=0,1,2;r2=0,2,1;r3=1,2,0",de749eab
variant_0103.dl,variant,"r0=1,2,0,3;r1=0,2,1;r2=0,1,2;r3=0,1,2",c98e8111
variant_0104.dl,variant,"r0=1,2,0,3;r1=0,2,1;r2=0,1,2;r3=0,2,1",32e5af9b
variant_0105.dl,variant,"r0=1,2,0,3;r1=0,2,1;r2=0,1,2;r3=1,2,0",5e3e433b
variant_0106.dl,variant,"r0=1,2,0,3;r1=0,2,1;r2=0,2,1;r3=0,1,2",c9d9e5d8
variant_0107.dl,variant,"r0=1,2,0,3;r1=0,2,1;r2=0,2,1;r3=0,2,1",8e223dd8
variant_0108.dl,variant,"r0=1,2,0,3;r1=0,2,1;r2=0,2,1;r3=1,2,0",e1e65c8f
variant_0109.dl,variant,"r0=1,2,0,3;r1=1,2,0;r2=0,1,2;r3=0,1,2",8cd3865e
variant_0110.dl,variant,"r0=1,2,0,3;r1=1,2,0;r2=0,1,2;r3=0,2,1",7d85a159
variant_0111.dl,variant,"r0=1,2,0,3;r1=1,2,0;r2=0,1,2;r3=1,2,0",93295e57
variant_0112.dl,variant,"r0=1,2,0,3;r1=1,2,0;r2=0,2,1;r3=0,1,2",635b1cdf
variant_0113.dl,variant,"r0=1,2,0,3;r1=1,2,0;r2=0,2,1;r3=0,2,1",462d0754
variant_0114.dl,variant,"r0=1,2,0,3;r1=1,2,0;r2=0,2,1;r3=1,2,0",7f5e261d
ablation_r0_p07.dl,ablation,"r0=1,2,3,0;r1=0,1,2;r2=0,1,2;r3=0,1,2",3b7a62b0
variant_0115.dl,variant,"r0=1,2,3,0;r1=0,1,2;r2=0,1,2;r3=0,2,1",c32dae17
variant_0116.dl,variant,"r0=1,2,3,0;r1=0,1,2;r2=0,1,2;r3=1,2,0",b2269f9b
variant_0117.dl,variant,"r0=1,2,3,0;r1=0,1,2;r2=0,2,1;r3=0,1,2",183bc7be
variant_0118.dl,variant,"r0=1,2,3,0;r1=0,1,2;r2=0,2,1;r3=0,2,1",b1c934a4
variant_0119.dl,variant,"r0=1,2,3,0;r1=0,1,2;r2=0,2,1;r3=1,2,0",560b5673
variant_0120.dl,variant,"r0=1,2,3,0;r1=0,2,1;r2=0,1,2;r3=0,1,2",eef5de7d
variant_0121.dl,variant,"r0=1,2,3,0;r1=0,2,1;r2=0,1,2;r3=0,2,1",ca4a7030
variant_0122.dl,variant,"r0=1,2,3,0;r1=0,2,1;r2=0,1,2;r3=1,2,0",1b261c1b
variant_0123.dl,variant,"r0=1,2,3,0;r1=0,2,1;r2=0,2,1;r3=0,1,2",3f672e0b
variant_0124.dl,variant,"r0=1,2,3,0;r1=0,2,1;r2=0,2,1;r3=0,2,1",3ed7c2c8
variant_0125.dl,variant,"r0=1,2,3,0;r1=0,2,1;r2=0,2,1;r3=1,2,0",fba93852
variant_0126.dl,variant,"r0=1,2,3,0;r1=1,2,0;r2=0,1,2;r3=0,1,2",110aa282
variant_0127.dl,variant,"r0=1,2,3,0;r1=1,2,0;r2=0,1,2;r3=0,2,1",eebbe037
variant_0128.dl,variant,"r0=1,2,3,0;r1=1,2,0;r2=0,1,2;r3=1,2,0",27811857
variant_0129.dl,variant,"r0=1,2,3,0;r1=1,2,0;r2=0,2,1;r3=0,1,2",b50078dd
variant_0130.dl,variant,"r0=1,2,3,0;r1=1,2,0;r2=0,2,1;r3=0,2,1",c9fa390a
variant_0131.dl,variant,"r0=1,2,3,0;r1=1,2,0;r2=0,2,1;r3=1,2,0",9dd32291
ablation_r0_p08.dl,ablation,"r0=1,3,0,2;r1=0,1,2;r2=0,1,2;r3=0,1,2",b671b5e7
variant_0132.dl,variant,"r0=1,3,0,2;r1=0,1,2;r2=0,1,2;r3=0,2,1",21fc1adf
variant_0133.dl,variant,"r0=1,3,0,2;r1=0,1,2;r2=0,1,2;r3=1,2,0",154f2c45
variant_0134.dl,variant,"r0=1,3,0,2;r1=0,1,2;r2=0,2,1;r3=0,1,2",3ddfd2d5
variant_0135.dl,variant,"r0=1,3,0,2;r1=0,1,2;r2=0,2,1;r3=0,2,1",85c7c63c
variant_0136.dl,variant,"r0=1,3,0,2;r1=0,1,2;r2=0,2,1;r3=1,2,0",5da964d9
variant_0137.dl,variant,"r0=1,3,0,2;r1=0,2,1;r2=0,1,2;r3=0,1,2",f97267b8
variant_0138.dl,variant,"r0=1,3,0,2;r1=0,2,1;r2=0,1,2;r3=0,2,1",0473f9e7
variant_0139.dl,variant,"r0=1,3,0,2;r1=0,2,1;r2=0,1,2;r3=1,2,0",3266130f
variant_0140.dl,variant,"r0=1,3,0,2;r1=0,2,1;r2=0,2,1;r3=0,1,2",fa937b8d
variant_0141.dl,variant,"r0=1,3,0,2;r1=0,2,1;r2=0,2,1;r3=0,2,1",7ec1cba2
variant_0142.dl,variant,"r0=1,3,0,2;r1=0,2,1;r2=0,2,1;r3=1,2,0",f7555e1c
variant_0143.dl,variant,"r0=1,3,0,2;r1=1,2,0;r2=0,1,2;r3=0,1,2",e7d91023
variant_0144.dl,variant,"r0=1,3,0,2;r1=1,2,0;r2=0,1,2;r3=0,2,1",43061ff8
variant_0145.dl,variant,"r0=1,3,0,2;r1=1,2,0;r2=0,1,2;r3=1,2,0",d6cfeae9
variant_0146.dl,variant,"r0=1,3,0,2;r1=1,2,0;r2=0,2,1;r3=0,1,2",b24f78b7
variant_0147.dl,variant,"r0=1,3,0,2;r1=1,2,0;r2=0,2,1;r3=0,2,1",0770b954
variant_0148.dl,variant,"r0=1,3,0,2;r1=1,2,0;r2=0,2,1;r3=1,2,0",41126836
ablation_r0_p09.dl,ablation,"r0=1,3,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2",bd05e980
variant_0149.dl,variant,"r0=1,3,2,0;r1=0,1,2;r2=0,1,2;r3=0,2,1",7be7040d
variant_0150.dl,variant,"r0=1,3,2,0;r1=0,1,2;r2=0,1,2;r3=1,2,0",b68b3a27
variant_0151.dl,variant,"r0=1,3,2,0;r1=0,1,2;r2=0,2,1;r3=0,1,2",011b283b
variant_0152.dl,variant,"r0=1,3,2,0;r1=0,1,2;r2=0,2,1;r3=0,2,1",a6a6821f
variant_0153.dl,variant,"r0=1,3,2,0;r1=0,1,2;r2=0,2,1;r3=1,2,0",a025f186
variant_0154.dl,variant,"r0=1,3,2,0;r1=0,2,1;r2=0,1,2;r3=0,1,2",dd9a57f0
variant_0155.dl,variant,"r0=1,3,2,0;r1=0,2,1;r2=0,1,2;r3=0,2,1",019e105d
variant_0156.dl,variant,"r0=1,3,2,0;r1=0,2,1;r2=0,1,2;r3=1,2,0",f001ddee
variant_0157.dl,variant,"r0=1,3,2,0;r1=0,2,1;r2=0,2,1;r3=0,1,2",bc94557b
variant_0158.dl,variant,"r0=1,3,2,0;r1=0,2,1;r2=0,2,1;r3=0,2,1",9422e58b
variant_0159.dl,variant,"r0=1,3,2,0;r1=0,2,1;r2=0,2,1;r3=1,2,0",6e06ab82
variant_0160.dl,variant,"r0=1,3,2,0;r1=1,2,0;r2=0,1,2;r3=0,1,2",c7fbc3cd
variant_0161.dl,variant,"r0=1,3,2,0;r1=1,2,0;r2=0,1,2;r3=0,2,1",e806e884
variant_0162.dl,variant,"r0=1,3,2,0;r1=1,2,0;r2=0,1,2;r3=1,2,0",d967d076
variant_0163.dl,variant,"r0=1,3,2,0;r1=1,2,0;r2=0,2,1;r3=0,1,2",eb8ecb45
variant_0164.dl,variant,"r0=1,3,2,0;r1=1,2,0;r2=0,2,1;r3=0,2,1",5e2337d5
variant_0165.dl,variant,"r0=1,3,2,0;r1=1,2,0;r2=0,2,1;r3=1,2,0",1522ffbe
ablation_r0_p10.dl,ablation,"r0=2,3,0,1;r1=0,1,2;r2=0,1,2;r3=0,1,2",c91121bd
variant_0166.dl,variant,"r0=2,3,0,1;r1=0,1,2;r2=0,1,2;r3=0,2,1",8cd0a6c6
variant_0167.dl,variant,"r0=2,3,0,1;r1=0,1,2;r2=0,1,2;r3=1,2,0",4f7c1f77
variant_0168.dl,variant,"r0=2,3,0,1;r1=0,1,2;r2=0,2,1;r3=0,1,2",89d46289
variant_0169.dl,variant,"r0=2,3,0,1;r1=0,1,2;r2=0,2,1;r3=0,2,1",5cbff81b
variant_0170.dl,variant,"r0=2,3,0,1;r1=0,1,2;r2=0,2,1;r3=1,2,0",292ca263
variant_0171.dl,variant,"r0=2,3,0,1;r1=0,2,1;r2=0,1,2;r3=0,1,2",1ff06413
variant_0172.dl,variant,"r0=2,3,0,1;r1=0,2,1;r2=0,1,2;r3=0,2,1",ef7873d5
variant_0173.dl,variant,"r0=2,3,0,1;r1=0,2,1;r2=0,1,2;r3=1,2,0",71429087
variant_0174.dl,variant,"r0=2,3,0,1;r1=0,2,1;r2=0,2,1;r3=0,1,2",7df733f7
variant_0175.dl,variant,"r0=2,3,0,1;r1=0,2,1;r2=0,2,1;r3=0,2,1",d216a05c
variant_0176.dl,variant,"r0=2,3,0,1;r1=0,2,1;r2=0,2,1;r3=1,2,0",efd7dac1
variant_0177.dl,variant,"r0=2,3,0,1;r1=1,2,0;r2=0,1,2;r3=0,1,2",dbffdcbb
variant_0178.dl,variant,"r0=2,3,0,1;r1=1,2,0;r2=0,1,2;r3=0,2,1",6f62440b
variant_0179.dl,variant,"r0=2,3,0,1;r1=1,2,0;r2=0,1,2;r3=1,2,0",4b8f8275
variant_0180.dl,variant,"r0=2,3,0,1;r1=1,2,0;r2=0,2,1;r3=0,1,2",c5750cd6
variant_0181.dl,variant,"r0=2,3,0,1;r1=1,2,0;r2=0,2,1;r3=0,2,1",cb89036d
variant_0182.dl,variant,"r0=2,3,0,1;r1=1,2,0;r2=0,2,1;r3=1,2,0",c337db54
ablation_r0_p11.dl,ablation,"r0=2,3,1,0;r1=0,1,2;r2=0,1,2;r3=0,1,2",763c3518
variant_0183.dl,variant,"r0=2,3,1,0;r1=0,1,2;r2=0,1,2;r3=0,2,1",972139a8
variant_0184.dl,variant,"r0=2,3,1,0;r1=0,1,2;r2=0,1,2;r3=1,2,0",4ad94d76
variant_0185.dl,variant,"r0=2,3,1,0;r1=0,1,2;r2=0,2,1;r3=0,1,2",e7e04ba6
variant_0186.dl,variant,"r0=2,3,1,0;r1=0,1,2;r2=0,2,1;r3=0,2,1",00cac909
variant_0187.dl,variant,"r0=2,3,1,0;r1=0,1,2;r2=0,2,1;r3=1,2,0",304e450b
variant_0188.dl,variant,"r0=2,3,1,0;r1=0,2,1;r2=0,1,2;r3=0,1,2",80116dc7
variant_0189.dl,variant,"r0=2,3,1,0;r1=0,2,1;r2=0,1,2;r3=0,2,1",20bc6ed9
variant_0190.dl,variant,"r0=2,3,1,0;r1=0,2,1;r2=0,1,2;r3=1,2,0",097d0cd5
variant_0191.dl,variant,"r0=2,3,1,0;r1=0,2,1;r2=0,2,1;r3=0,1,2",b6392a52
variant_0192.dl,variant,"r0=2,3,1,0;r1=0,2,1;r2=0,2,1;r3=0,2,1",194a9832
variant_0193.dl,variant,"r0=2,3,1,0;r1=0,2,1;r2=0,2,1;r3=1,2,0",87fc51d7
variant_0194.dl,variant,"r0=2,3,1,0;r1=1,2,0;r2=0,1,2;r3=0,1,2",c4f4dff6
variant_0195.dl,variant,"r0=2,3,1,0;r1=1,2,0;r2=0,1,2;r3=0,2,1",067d0be0
variant_0196.dl,variant,"r0=2,3,1,0;r1=1,2,0;r2=0,1,2;r3=1,2,0",9a5e5360
variant_0197.dl,variant,"r0=2,3,1,0;r1=1,2,0;r2=0,2,1;r3=0,1,2",9285e737
variant_0198.dl,variant,"r0=2,3,1,0;r1=1,2,0;r2=0,2,1;r3=0,2,1",ce2582f4
variant_0199.dl,variant,"r0=2,3,1,0;r1=1,2,0;r2=0,2,1;r3=1,2,0",0fadc26e
