Variant,Kind,Signature,Total_s,PeakRss_MB,RunsSucceeded,vs_Default,SemanticPreserve
ablation_r7_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,3,4,2;r8=0,1,2",8.962287458,4161.69,3,1.005121,match
ablation_r7_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,3,2,4;r8=0,1,2",8.851244198,4087.62,3,0.992668,match
ablation_r7_p03,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,3,1,2,4;r8=0,1,2",9.219877739,4084.22,3,1.034010,match
ablation_r7_p04,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,4,2,1,3;r8=0,1,2",9.378747804,4380.70,3,1.051828,match
ablation_r7_p05,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,4,2,3,1;r8=0,1,2",9.217990366,4399.95,3,1.033799,match
ablation_r7_p06,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=1,4,2,3,0;r8=0,1,2",8.655156909,4167.69,3,0.970677,match
ablation_r7_p07,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=2,3,1,4,0;r8=0,1,2",8.817683551,4081.59,3,0.988904,match
ablation_r7_p08,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=2,4,3,0,1;r8=0,1,2",8.930501192,4149.48,3,1.001557,match
ablation_r7_p09,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=2,3,0,1,4;r8=0,1,2",8.907470884,4103.71,3,0.998974,match
ablation_r7_p10,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,4,1,3,2;r8=0,1,2",9.173395305,4344.95,3,1.028797,match
ablation_r7_p11,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=1,4,3,2,0;r8=0,1,2",8.689149755,4158.49,3,0.974489,match
ablation_r7_p12,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=1,3,2,4,0;r8=0,1,2",9.389828824,4064.83,3,1.053070,match
ablation_r8_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,2,1",11.756821584,5498.99,3,1.318529,match
ablation_r8_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=1,2,0",487.827250925,139725.95,3,54.709878,match
sample_0001,sample,"r0=0,1,2;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,1,2,3;r5=2,4,3,0,1;r6=0,1,2;r7=2,4,1,0,3;r8=0,2,1",12.585264090,5477.93,3,1.411439,match
sample_0002,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,3,2,1;r5=0,2,1,4,3;r6=0,1,2;r7=1,3,0,2,4;r8=0,1,2",8.871086766,4074.65,3,0.994893,match
sample_0003,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,1,2,3;r5=2,4,1,3,0;r6=0,2,1;r7=1,4,3,0,2;r8=0,1,2",9.034541796,4177.12,3,1.013225,match
sample_0004,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=2,3,0,1;r5=2,3,4,1,0;r6=0,2,1;r7=2,3,0,1,4;r8=0,1,2",9.409764382,4370.48,3,1.055306,match
sample_0005,sample,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,3,1,2;r5=0,2,1,3,4;r6=0,1,2;r7=0,3,1,2,4;r8=0,2,1",17.649376895,8506.69,3,1.979379,match
sample_0006,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=1,2,3,4,0;r6=0,2,1;r7=0,4,1,3,2;r8=1,2,0",496.188890130,141648.60,3,55.647637,match
sample_0007,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,3,2,0;r5=2,4,0,1,3;r6=0,1,2;r7=1,4,3,0,2;r8=1,2,0",597.800855691,141628.76,1,67.043430,match
sample_0008,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=0,3,1,2;r5=2,4,0,1,3;r6=1,2,0;r7=1,4,3,2,0;r8=0,1,2",14.823053253,4460.88,3,1.662407,match
sample_0009,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,3,1,0;r6=0,2,1;r7=1,3,0,4,2;r8=0,2,1",16.840070544,8448.03,3,1.888616,match
sample_0010,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,3,1;r5=2,4,0,1,3;r6=0,2,1;r7=1,3,0,4,2;r8=1,2,0",455.097279275,141313.26,3,51.039208,match
sample_0011,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,2,3,1;r5=2,4,1,3,0;r6=1,2,0;r7=1,4,3,0,2;r8=0,2,1",18.415718731,5779.03,3,2.065325,match
sample_0012,sample,"r0=1,2,0;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=0,3,2,1;r5=0,2,4,3,1;r6=0,1,2;r7=1,4,2,0,3;r8=0,2,1",134.767904897,41301.88,3,15.114235,match
sample_0013,sample,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,2,3,4,1;r6=1,2,0;r7=1,3,2,4,0;r8=1,2,0",508.509107643,141118.60,3,57.029351,match
sample_0014,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,3,0,2;r5=1,2,0,3,4;r6=1,2,0;r7=0,1,2,3,4;r8=1,2,0",494.784125837,141256.41,3,55.490092,match
sample_0015,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=2,3,0,1;r5=1,2,3,0,4;r6=0,1,2;r7=1,2,0,3,4;r8=0,2,1",17.714825213,8334.96,3,1.986720,match
sample_0016,sample,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=1,3,0,2;r5=2,4,3,0,1;r6=0,1,2;r7=1,4,2,0,3;r8=0,1,2",9.084424318,4075.61,3,1.018819,match
sample_0017,sample,"r0=1,2,0;r1=0,2,1;r2=1,2,0;r3=0,1,2;r4=0,2,1,3;r5=1,2,3,4,0;r6=0,1,2;r7=1,4,3,0,2;r8=1,2,0",481.804324325,142223.91,3,54.034406,match
sample_0018,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=0,1,2,3;r5=0,2,1,4,3;r6=0,2,1;r7=1,2,0,4,3;r8=0,1,2",130.948660057,36997.77,3,14.685906,match
sample_0019,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=0,1,3,2;r5=2,4,1,3,0;r6=0,2,1;r7=0,1,4,2,3;r8=1,2,0",494.283860816,141219.61,3,55.433988,match
sample_0020,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=1,3,0,2;r5=0,2,3,4,1;r6=0,2,1;r7=1,4,2,3,0;r8=1,2,0",485.256767930,138758.57,3,54.421598,match
sample_0021,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=2,3,1,0;r5=1,2,0,4,3;r6=0,2,1;r7=2,4,0,1,3;r8=1,2,0",493.160065027,142226.66,3,55.307954,match
sample_0022,sample,"r0=0,2,1;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,1,3,2;r5=0,2,4,3,1;r6=0,1,2;r7=0,1,4,2,3;r8=0,2,1",11.915032522,5396.71,3,1.336272,match
sample_0023,sample,"r0=0,1,2;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,3,2,0;r5=0,2,4,3,1;r6=0,1,2;r7=0,1,4,2,3;r8=1,2,0",TIMEOUT,140865.82,0,N/A,TIMEOUT
sample_0024,sample,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=3,4,2,1,0;r6=0,2,1;r7=0,1,4,2,3;r8=1,2,0",499.144150097,143046.81,3,55.979070,match
sample_0025,sample,"r0=0,1,2;r1=0,2,1;r2=1,2,0;r3=1,2,0;r4=0,2,3,1;r5=2,3,1,4,0;r6=0,1,2;r7=2,4,3,0,1;r8=1,2,0",498.313616882,141886.27,3,55.885925,match
sample_0026,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=1,2,0,3;r5=0,2,4,1,3;r6=0,1,2;r7=0,3,1,2,4;r8=1,2,0",505.295676477,143207.65,3,56.668964,match
sample_0027,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,2,3,0;r5=3,4,2,1,0;r6=1,2,0;r7=0,1,3,4,2;r8=1,2,0",490.034257049,139883.73,3,54.957394,match
sample_0028,sample,"r0=1,2,0;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=1,2,0,3;r5=2,4,1,3,0;r6=0,2,1;r7=0,3,1,2,4;r8=0,1,2",125.295403028,41237.73,3,14.051893,match
sample_0029,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=1,2,4,3,0;r6=0,1,2;r7=0,4,3,2,1;r8=0,2,1",11.937359759,5550.67,3,1.338776,match
sample_0030,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,2,3;r5=2,4,0,1,3;r6=1,2,0;r7=0,1,2,3,4;r8=0,1,2",14.905308471,4420.87,3,1.671632,match
sample_0031,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=1,2,3,0;r5=0,2,4,1,3;r6=0,2,1;r7=0,1,3,4,2;r8=0,1,2",15.322469692,4473.43,3,1.718417,match
sample_0032,sample,"r0=0,2,1;r1=0,1,2;r2=0,2,1;r3=1,2,0;r4=1,2,3,0;r5=1,2,0,4,3;r6=0,2,1;r7=2,4,1,0,3;r8=1,2,0",503.533736513,140972.82,3,56.471362,match
sample_0033,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=0,2,4,1,3;r6=0,2,1;r7=0,4,1,3,2;r8=0,1,2",125.723440946,41442.02,3,14.099897,match
sample_0034,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=2,3,1,0;r5=1,2,3,0,4;r6=0,1,2;r7=0,1,3,4,2;r8=1,2,0",TIMEOUT,139646.98,0,N/A,TIMEOUT
sample_0035,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=0,1,2,3;r5=2,3,1,0,4;r6=0,1,2;r7=0,3,4,2,1;r8=0,1,2",123.194930017,37067.99,3,13.816325,match
sample_0036,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=1,2,0,3;r5=0,2,1,4,3;r6=1,2,0;r7=0,4,2,3,1;r8=1,2,0",502.773685219,138973.95,3,56.386122,match
sample_0037,sample,"r0=1,2,0;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=1,2,0,3;r5=2,4,0,3,1;r6=1,2,0;r7=2,3,0,1,4;r8=1,2,0",514.603343289,142422.34,3,57.712820,match
sample_0038,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=0,2,3,1;r5=1,2,0,3,4;r6=0,2,1;r7=0,3,2,1,4;r8=1,2,0",483.908036031,142126.03,3,54.270338,match
sample_0039,sample,"r0=1,2,0;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=0,1,3,2;r5=0,1,2,3,4;r6=0,2,1;r7=2,3,1,4,0;r8=1,2,0",516.159335798,143035.32,3,57.887324,match
sample_0040,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=1,3,0,2;r5=1,2,0,3,4;r6=0,1,2;r7=1,2,4,0,3;r8=0,1,2",8.946243088,4106.68,3,1.003322,match
sample_0041,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=1,2,3,0;r5=3,4,2,0,1;r6=1,2,0;r7=2,4,1,3,0;r8=0,2,1",18.276769670,5725.91,3,2.049742,match
sample_0042,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=2,3,0,1;r5=3,4,2,0,1;r6=1,2,0;r7=1,2,0,4,3;r8=1,2,0",TIMEOUT,142525.05,0,N/A,TIMEOUT
sample_0043,sample,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,3,2;r5=2,4,1,3,0;r6=1,2,0;r7=0,3,2,4,1;r8=0,2,1",17.781297572,5688.24,3,1.994174,match
sample_0044,sample,"r0=0,2,1;r1=1,2,0;r2=0,1,2;r3=1,2,0;r4=0,2,3,1;r5=2,4,0,3,1;r6=1,2,0;r7=0,4,3,1,2;r8=1,2,0",TIMEOUT,142429.82,0,N/A,TIMEOUT
sample_0045,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=1,2,4,3,0;r6=0,2,1;r7=0,1,3,2,4;r8=0,1,2",9.499647937,4259.77,3,1.065387,match
sample_0046,sample,"r0=0,2,1;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,1,3;r5=2,4,1,3,0;r6=0,2,1;r7=1,4,3,2,0;r8=1,2,0",508.584008250,140542.52,3,57.037751,match
sample_0047,sample,"r0=0,2,1;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,1,3,2;r5=2,4,1,0,3;r6=0,1,2;r7=1,4,3,0,2;r8=0,1,2",120.070741530,36845.55,3,13.465946,match
sample_0048,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,2,0,3;r5=0,2,3,1,4;r6=0,1,2;r7=1,2,0,4,3;r8=0,2,1",124.853050639,36857.96,3,14.002283,match
sample_0049,sample,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,2,1,4,3;r6=0,2,1;r7=1,4,3,2,0;r8=0,2,1",11.843018045,5535.90,3,1.328196,match
sample_0050,sample,"r0=1,2,0;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,2,1,3;r5=2,4,3,1,0;r6=0,1,2;r7=1,3,2,0,4;r8=0,1,2",128.521452049,41268.60,3,14.413695,match
sample_0051,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=2,3,0,1;r5=3,4,2,1,0;r6=1,2,0;r7=0,4,2,3,1;r8=0,2,1",131.323675037,37223.84,3,14.727964,match
sample_0052,sample,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=1,2,0;r4=0,1,2,3;r5=3,4,2,1,0;r6=0,2,1;r7=0,4,2,1,3;r8=0,1,2",121.257282531,36748.23,3,13.599017,match
sample_0053,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=0,2,3,1;r5=0,1,2,3,4;r6=1,2,0;r7=0,4,1,2,3;r8=0,2,1",18.280062581,5499.38,3,2.050111,match
sample_0054,sample,"r0=0,2,1;r1=0,2,1;r2=0,1,2;r3=1,2,0;r4=0,3,2,1;r5=2,4,0,1,3;r6=1,2,0;r7=1,3,0,4,2;r8=1,2,0",506.439816883,142268.73,3,56.797279,match
sample_0055,sample,"r0=1,2,0;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,3,1,2;r5=0,2,3,4,1;r6=1,2,0;r7=0,4,3,1,2;r8=0,1,2",14.955672269,8768.91,3,1.677280,match
sample_0056,sample,"r0=0,1,2;r1=1,2,0;r2=0,2,1;r3=1,2,0;r4=2,3,1,0;r5=2,4,3,1,0;r6=0,2,1;r7=1,3,2,4,0;r8=1,2,0",TIMEOUT,141806.56,0,N/A,TIMEOUT
sample_0057,sample,"r0=1,2,0;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,3,1,2;r5=0,1,2,4,3;r6=1,2,0;r7=1,3,2,4,0;r8=0,1,2",20.424670873,8601.43,3,2.290629,match
sample_0058,sample,"r0=1,2,0;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=0,3,2,1;r5=1,2,4,3,0;r6=0,1,2;r7=2,4,0,1,3;r8=0,2,1",129.565325148,41253.74,3,14.530765,match
sample_0059,sample,"r0=1,2,0;r1=0,2,1;r2=1,2,0;r3=0,1,2;r4=2,3,1,0;r5=1,2,0,4,3;r6=1,2,0;r7=1,2,0,4,3;r8=1,2,0",513.404173717,141212.38,3,57.578333,match
sample_0060,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=1,3,0,2;r5=0,2,3,1,4;r6=0,1,2;r7=1,3,2,0,4;r8=1,2,0",498.784718594,140664.68,3,55.938759,match
sample_0061,sample,"r0=0,2,1;r1=1,2,0;r2=1,2,0;r3=0,1,2;r4=1,3,2,0;r5=2,3,4,0,1;r6=0,2,1;r7=1,3,0,4,2;r8=1,2,0",TIMEOUT,142581.74,0,N/A,TIMEOUT
sample_0062,sample,"r0=0,1,2;r1=0,2,1;r2=0,2,1;r3=0,1,2;r4=1,2,0,3;r5=2,4,3,1,0;r6=1,2,0;r7=2,3,1,0,4;r8=1,2,0",514.693759716,141115.25,3,57.722960,match
sample_0063,sample,"r0=0,2,1;r1=0,2,1;r2=0,2,1;r3=1,2,0;r4=2,3,0,1;r5=0,2,4,1,3;r6=1,2,0;r7=1,4,0,2,3;r8=1,2,0",510.584107051,141671.18,3,57.262062,match
sample_0064,sample,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=1,2,0;r4=1,3,0,2;r5=2,4,0,3,1;r6=1,2,0;r7=2,3,1,4,0;r8=0,2,1",123.586797346,37122.54,3,13.860272,match
sample_0065,sample,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=1,2,0;r4=0,2,3,1;r5=2,4,3,1,0;r6=0,1,2;r7=0,3,2,4,1;r8=0,1,2",8.699203256,4086.10,3,0.975617,match
